,iter,norm
14,15,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
15,16,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
16,17,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
17,18,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
18,19,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
19,20,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
20,21,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
21,22,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
22,23,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
23,24,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
24,25,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
25,26,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
26,27,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
27,28,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
28,29,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
29,30,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
30,31,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
31,32,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
32,33,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
33,34,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
34,35,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
35,36,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
36,37,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
37,38,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
38,39,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
39,40,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
40,41,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
41,42,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
42,43,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
43,44,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
44,45,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
45,46,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
46,47,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
47,48,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
48,49,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
49,50,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
50,51,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
51,52,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
52,53,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
53,54,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
54,55,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
55,56,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
56,57,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
57,58,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
58,59,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
59,60,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
60,61,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
61,62,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
62,63,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
63,64,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
64,65,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
65,66,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
66,67,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
67,68,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
68,69,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
69,70,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
70,71,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
71,72,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
72,73,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
73,74,"{'adjacent_negative_facts': 1, 'adjacent_facts_from_clue': 1, 'adjacent_facts_from_bijectivity': 1, 'adjacent_facts_from_transitivity': 4, 'other_negative_facts': 1, 'other_positive_facts': 1, 'adjacent_clue': 1, 'adjacent_bijectivity': 1, 'adjacent_transitivity': 1, 'other_clue': 1, 'other_transitivity': 1, 'other_bijectivity': 1}"
